timestamp_ns,mode,e2e,dataset,text_mix,style_mix,cols,rows,frames_total,warmup_frames,seed,time_min_ns,time_median_ns,time_p95_ns,time_max_ns,time_mean_ns,cpu_time_ns,cpu_user_ns,cpu_sys_ns,page_faults_minor,page_faults_major,page_faults_minor_min,page_faults_minor_median,page_faults_minor_p95,page_faults_minor_max,page_faults_minor_mean,page_faults_major_min,page_faults_major_median,page_faults_major_p95,page_faults_major_max,page_faults_major_mean,max_rss_bytes,bytes_total,bytes_mean,dirty_ratio_mean,style_runs_mean,pmc_cycles_min,pmc_cycles_median,pmc_cycles_p95,pmc_cycles_max,pmc_cycles_mean,pmc_instructions_min,pmc_instructions_median,pmc_instructions_p95,pmc_instructions_max,pmc_instructions_mean,pmc_cache_misses_min,pmc_cache_misses_median,pmc_cache_misses_p95,pmc_cache_misses_max,pmc_cache_misses_mean,pmc_cache_references_min,pmc_cache_references_median,pmc_cache_references_p95,pmc_cache_references_max,pmc_cache_references_mean,pmc_branches_min,pmc_branches_median,pmc_branches_p95,pmc_branches_max,pmc_branches_mean,pmc_branch_misses_min,pmc_branch_misses_median,pmc_branch_misses_p95,pmc_branch_misses_max,pmc_branch_misses_mean
1770222339293041000,diff_redraw,1,typical_app_panel_swap,common,flat,200,60,20000,1000,69420,18916,23667,26916,209791,23200,845956000,687308000,158648000,91,0,0,0,0,7,0,0,0,0,0,0,12075008,0,0.000000,0.096083,475.000000,74802,79323,91002,347085,81078,313405,314707,317262,968634,315260,238,1315,1552,3350,1340,NA,NA,NA,NA,NA,42832,42832,42832,42849,42832,85,90,93,345,90
1770222341491900000,diff_redraw,1,typical_app_panel_swap,common,themed,200,60,20000,1000,69420,29042,37625,45666,142709,38809,976122000,729980000,246142000,90,0,0,0,0,6,0,0,0,0,0,0,14352384,0,0.000000,0.096083,843.000000,91780,104674,121759,232679,106966,386953,394112,397648,573732,394033,313,1467,1686,4923,1486,NA,NA,NA,NA,NA,51818,51818,51818,51818,51818,117,125,144,790,130
1770222344001428000,diff_redraw,1,typical_app_panel_swap,common,churn,200,60,20000,1000,69420,59000,80834,97250,7616667,84386,1354440000,865789000,488651000,0,0,0,0,0,0,0,0,0,0,0,0,14696448,0,0.000000,0.096083,3137.000000,150674,177000,205225,403586,180256,648497,666604,675084,740177,667087,282,1503,1672,3163,1512,NA,NA,NA,NA,NA,81833,81833,81833,81833,81833,196,209,220,1936,212
1770222347477486000,diff_redraw,1,typical_app_panel_swap,grapheme_stress,flat,200,60,20000,1000,69420,23708,29334,32833,135000,29037,997210000,838739000,158471000,0,0,0,0,0,0,0,0,0,0,0,0,14827520,0,0.000000,0.096083,475.000000,94326,102221,114474,252843,104068,421098,422271,424888,512740,422784,594,1265,1471,3388,1275,NA,NA,NA,NA,NA,58858,58858,58858,58858,58858,56,64,69,1307,64
1770222349834759000,diff_redraw,1,typical_app_panel_swap,grapheme_stress,themed,200,60,20000,1000,69420,34250,44666,54709,6456584,47575,1175357000,916348000,259009000,0,0,0,0,0,0,0,0,0,0,0,0,14958592,0,0.000000,0.096083,840.000000,119445,131436,155134,332057,134854,514018,522621,527503,973472,522874,326,1296,1519,3232,1310,NA,NA,NA,NA,NA,70650,70650,70650,70650,70650,79,85,97,2287,95
1770222352595340000,diff_redraw,1,typical_app_panel_swap,grapheme_stress,churn,200,60,20000,1000,69420,48125,66542,80291,1665625,68391,1359902000,981951000,377951000,0,0,0,0,0,0,0,0,0,0,0,0,15106048,0,0.000000,0.096083,2867.000000,146474,166998,195947,436977,170667,633591,646934,655529,1279806,647640,332,1349,1538,3365,1354,NA,NA,NA,NA,NA,84413,84413,84413,84428,84413,107,118,133,3262,130
1770222355786648000,diff_redraw,1,typical_app_cursor_moves,common,flat,200,60,20000,1000,69420,10792,12000,14875,193084,12599,820532000,702713000,117819000,3,0,0,0,0,1,0,0,0,0,0,0,15237120,0,0.000000,0.000166,475.000000,55328,63607,69281,288837,63720,218335,220015,222265,810741,220303,219,1322,1475,4378,1331,NA,NA,NA,NA,NA,28947,29029,29149,29261,29037,84,89,94,243,89
1770222357840571000,diff_redraw,1,typical_app_cursor_moves,common,themed,200,60,20000,1000,69420,10958,11959,14084,105083,12240,778177000,676973000,101204000,0,0,0,0,0,0,0,0,0,0,0,0,15319040,0,0.000000,0.000166,843.000000,53395,59693,67122,199685,60700,215002,216946,219562,498928,217270,225,1400,1568,8068,1428,NA,NA,NA,NA,NA,28706,28870,29147,29445,28896,83,88,98,269,89
1770222359853125000,diff_redraw,1,typical_app_cursor_moves,common,churn,200,60,20000,1000,69420,10792,11791,14459,99917,12263,757987000,657624000,100363000,0,0,0,0,0,0,0,0,0,0,0,0,15400960,0,0.000000,0.000166,3137.000000,53694,58629,65794,211656,59530,215681,217726,220238,431064,218024,263,1336,1489,3344,1345,NA,NA,NA,NA,NA,28719,28906,29231,29550,28944,95,101,113,259,102
1770222361846096000,diff_redraw,1,typical_app_cursor_moves,grapheme_stress,flat,200,60,20000,1000,69420,17541,18375,21334,54500,18810,981390000,868628000,112762000,0,0,0,0,0,0,0,0,0,0,0,0,15466496,0,0.000000,0.000166,475.000000,80695,86701,94632,170364,87831,337122,338220,340913,409065,338785,552,1284,1472,3490,1281,NA,NA,NA,NA,NA,46362,46423,46553,46665,46438,61,70,85,1826,73
1770222364065707000,diff_redraw,1,typical_app_cursor_moves,grapheme_stress,themed,200,60,20000,1000,69420,17500,18500,21709,206042,18973,939538000,836825000,102713000,0,0,0,0,0,0,0,0,0,0,0,0,15532032,0,0.000000,0.000166,840.000000,80349,85603,94607,333054,86721,334327,336700,339682,910654,337172,551,1266,1450,3170,1261,NA,NA,NA,NA,NA,45933,46078,46362,46736,46106,64,72,90,1711,75
1770222366246222000,diff_redraw,1,typical_app_cursor_moves,grapheme_stress,churn,200,60,20000,1000,69420,17667,18709,22500,78709,19403,943298000,840995000,102303000,0,0,0,0,0,0,0,0,0,0,0,0,15630336,0,0.000000,0.000166,2867.000000,81473,86320,95384,236784,87402,340655,343443,345822,410443,343765,351,1276,1468,3285,1277,NA,NA,NA,NA,NA,47079,47231,47550,47739,47264,60,70,93,1994,74
1770222368431777000,diff_redraw,1,unicode_stress_width_churn,common,flat,200,60,20000,1000,69420,77666,140208,184166,9380500,144316,2704586000,2089676000,614910000,0,0,0,0,0,0,0,0,0,0,0,0,15695872,0,0.000000,0.207320,134.629579,239369,345394,412236,623821,345925,662105,950306,1081627,1213417,944709,184,1261,1589,2217,1263,NA,NA,NA,NA,NA,89887,124232,140733,148908,123658,2993,4270,5026,7238,4256
1770222373595390000,diff_redraw,1,unicode_stress_width_churn,common,themed,200,60,20000,1000,69420,109250,197708,265292,2527708,202114,3301515000,2415373000,886142000,0,0,0,0,0,0,0,0,0,0,0,0,15745024,0,0.000000,0.207358,598.499105,280637,430227,520233,725584,430838,845267,1223955,1402085,1551371,1215735,235,1319,1657,2251,1319,NA,NA,NA,NA,NA,108994,155754,177347,192182,154703,3239,4994,5847,9417,4963
1770222379982810000,diff_redraw,1,unicode_stress_width_churn,common,churn,200,60,20000,1000,69420,225875,469604,747041,15411500,503236,5609101000,3515869000,2093232000,0,0,0,0,0,0,0,0,0,0,0,0,15794176,0,0.000000,0.207901,4039.098105,474169,806809,980749,1439241,809775,1475141,2433630,2815589,3127211,2418398,461,1582,1960,2641,1588,NA,NA,NA,NA,NA,180310,291617,336324,375314,289787,4875,7915,9276,11775,7861
1770222392514888000,diff_redraw,1,unicode_stress_width_churn,grapheme_stress,flat,200,60,20000,1000,69420,98292,172458,230833,8071250,176944,3336653000,2622423000,714230000,0,0,0,0,0,0,0,0,0,0,0,0,15892480,0,0.000000,0.212802,134.629579,283090,401042,472565,669564,401003,833986,1116373,1251326,1754091,1110212,244,1169,1419,2041,1166,NA,NA,NA,NA,NA,111424,146243,162567,171415,145704,3535,5614,6697,8161,5571
